user_id,date,transaction_type,amount,balance,description,channel
ROSHAN01,2023-07-01 00:00:00,debit,3994.19,40148.4,Tractor Rental,UPI
ROSHAN01,2023-07-02 00:00:00,credit,22346.76,48846.76,Mandi Receipt,bank transfer
ROSHAN01,2023-07-06 00:00:00,debit,438.09,34315.61,Irrigation Pump Fuel,cash
ROSHAN01,2023-07-07 00:00:00,debit,504.28,44142.59,Pharmacy,UPI
ROSHAN01,2023-07-08 00:00:00,debit,4151.7,35460.75,Seed Purchase,cash
ROSHAN01,2023-07-09 00:00:00,debit,272.25,34043.36,Electricity Bill,UPI
ROSHAN01,2023-07-14 00:00:00,debit,123.84,44646.87,Groceries,UPI
ROSHAN01,2023-07-21 00:00:00,debit,535.95,39612.45,Irrigation Pump Fuel,cash
ROSHAN01,2023-07-24 00:00:00,debit,641.36,48205.4,Mobile Recharge,UPI
ROSHAN01,2023-07-25 00:00:00,debit,181.77,33861.59,Local Store,UPI
ROSHAN01,2023-07-26 00:00:00,debit,707.05,34753.7,Groceries,UPI
ROSHAN01,2023-07-29 00:00:00,debit,3434.69,44770.71,Tractor Rental,UPI
ROSHAN01,2023-08-04 00:00:00,credit,40424.83,74286.42,Mandi Receipt,bank transfer
ROSHAN01,2023-08-07 00:00:00,debit,888.18,106637.87,Dairy Milk,UPI
ROSHAN01,2023-08-11 00:00:00,debit,636.14,104515.69,Pharmacy,UPI
ROSHAN01,2023-08-12 00:00:00,debit,541.63,112080.15,Mobile Recharge,UPI
ROSHAN01,2023-08-12 00:00:00,debit,462.73,105381.95,Dairy Milk,UPI
ROSHAN01,2023-08-17 00:00:00,debit,878.49,112621.78,Mobile Recharge,UPI
ROSHAN01,2023-08-19 00:00:00,debit,2513.42,98058.16,School Fees,bank transfer
ROSHAN01,2023-08-20 00:00:00,credit,39213.85,113500.27,Mandi Receipt,bank transfer
ROSHAN01,2023-08-22 00:00:00,debit,136.66,107526.05,Mobile Recharge,UPI
ROSHAN01,2023-08-22 00:00:00,debit,3944.11,100571.58,School Fees,bank transfer
ROSHAN01,2023-08-23 00:00:00,debit,230.72,97827.44,Pharmacy,UPI
ROSHAN01,2023-08-26 00:00:00,debit,3855.56,108224.59,School Fees,bank transfer
ROSHAN01,2023-08-26 00:00:00,debit,230.12,105151.83,Local Store,UPI
ROSHAN01,2023-08-27 00:00:00,debit,561.88,107662.71,Local Store,UPI
