user_id,loan_id,loan_amount,loan_start_date,loan_due_date,interest_rate,repayment_type,amount_repaid,outstanding_amount,missed_payments,days_past_due,default_flag,label_user_type
U00001,U00001_L01,30014,2023-09-08,2024-02-21,10.64,seasonal,21782.71,9683.67,1,10,0,stable
U00001,U00001_L02,67107,2023-09-18,2024-02-23,16.69,bullet,0.0,71955.29,0,0,1,stable
U00002,U00002_L01,88304,2023-07-17,2024-02-27,16.38,EMI,83807.67,13412.61,0,0,0,stable
U00002,U00002_L02,41333,2023-05-21,2023-12-22,15.22,bullet,45038.59,0,1,0,0,stable
U00003,U00003_L01,20253,2023-08-30,2023-12-14,10.16,EMI,20850.58,0,0,0,0,stable
U00003,U00003_L02,85841,2023-08-27,2024-02-18,16.3,seasonal,53941.45,38608.08,0,0,1,stable
U00004,U00004_L01,146686,2023-05-19,2024-02-13,12.88,seasonal,102991.01,57670.75,1,14,0,unstable
U00005,U00005_L01,77074,2023-03-03,2024-01-24,8.15,bullet,81803.49,898.08,0,0,0,unstable
U00006,U00006_L01,196709,2023-09-29,2024-08-18,9.76,seasonal,20489.03,193262.19,1,12,1,debt_trapped
U00007,U00007_L01,55028,2023-09-25,2024-01-24,13.72,bullet,43418.53,14112.3,1,9,0,unstable
U00007,U00007_L02,147268,2023-06-17,2024-04-21,16.05,bullet,0.0,167278.09,3,30,0,unstable
U00008,U00008_L01,44199,2023-07-20,2023-11-20,9.95,bullet,14332.1,31348.9,3,41,1,debt_trapped
U00008,U00008_L02,34904,2023-08-21,2024-04-08,17.55,bullet,0.0,38780.78,5,35,1,debt_trapped
U00009,U00009_L01,78215,2023-09-01,2024-04-27,17.57,bullet,0.0,87213.43,0,0,0,stable
U00009,U00009_L02,77310,2023-09-03,2024-08-27,12.03,seasonal,57231.88,29225.63,0,0,0,stable
U00010,U00010_L01,123103,2023-02-06,2023-12-04,15.73,seasonal,108093.22,30978.54,3,27,0,unstable
U00010,U00010_L02,95303,2023-03-29,2023-12-31,15.36,bullet,89668.36,16743.88,4,24,1,unstable
U00010,U00010_L03,77796,2023-07-13,2024-02-24,16.53,seasonal,52346.32,33412.11,2,10,0,unstable
U00011,U00011_L01,83786,2023-06-07,2024-02-14,11.7,EMI,67011.34,23542.73,0,0,1,stable
U00011,U00011_L02,79221,2023-08-29,2024-01-07,16.97,seasonal,61220.79,22825.25,0,0,0,stable
U00012,U00012_L01,117927,2023-07-15,2024-05-28,10.41,seasonal,0.0,128622.43,4,20,1,debt_trapped
U00012,U00012_L02,83425,2023-07-27,2024-05-26,15.34,EMI,6650.6,87433.05,4,36,1,debt_trapped
U00012,U00012_L03,194869,2023-09-09,2024-09-01,15.99,bullet,0.0,225430.97,3,30,1,debt_trapped
U00013,U00013_L01,92695,2023-08-03,2024-05-02,12.72,seasonal,50708.49,50805.38,1,10,0,unstable
U00013,U00013_L02,52583,2023-06-06,2023-12-06,13.79,seasonal,32251.5,23967.03,0,25,0,unstable
U00013,U00013_L03,59256,2023-08-25,2024-06-06,16.71,seasonal,36128.51,30886.07,0,0,1,unstable
U00014,U00014_L01,102042,2023-07-21,2023-12-02,10.78,EMI,82898.27,23182.14,1,29,0,unstable
U00015,U00015_L01,49811,2023-04-23,2024-03-30,13.23,seasonal,51425.71,4560.03,0,0,0,stable
U00016,U00016_L01,83702,2023-09-29,2024-01-28,14.1,EMI,77360.79,10253.65,0,0,0,stable
U00016,U00016_L02,67544,2023-09-05,2024-01-11,15.16,seasonal,51279.63,19855.27,0,0,0,stable
U00017,U00017_L01,102947,2023-10-01,2024-02-18,13.86,bullet,40027.84,68391.99,3,45,1,debt_trapped
U00017,U00017_L02,31945,2023-06-03,2024-01-21,14.42,bullet,7616.28,27256.67,3,45,1,debt_trapped
U00017,U00017_L03,189985,2023-09-28,2024-07-22,13.23,bullet,0.0,210506.19,3,33,1,debt_trapped
U00018,U00018_L01,23180,2023-05-12,2024-01-26,13.28,seasonal,15791.71,9572.63,1,15,0,unstable
U00019,U00019_L01,34504,2023-09-02,2024-05-03,8.06,bullet,0.0,36363.09,0,0,0,stable
U00020,U00020_L01,169795,2023-06-22,2024-02-22,8.46,EMI,14590.72,164846.31,4,44,1,debt_trapped
U00021,U00021_L01,92232,2023-07-08,2024-05-15,8.08,EMI,45016.34,53585.89,1,5,0,stable
U00022,U00022_L01,66933,2023-03-19,2023-08-16,8.12,seasonal,32698.09,36468.45,0,137,0,stable
U00022,U00022_L02,54116,2023-09-04,2024-09-03,17.11,seasonal,41018.14,22357.11,0,0,0,stable
U00023,U00023_L01,100300,2023-08-16,2024-07-01,15.7,seasonal,33253.6,80852.08,1,13,1,unstable
U00023,U00023_L02,143782,2023-02-22,2023-07-01,13.07,EMI,79562.04,70861.63,2,183,0,unstable
U00023,U00023_L03,118644,2023-06-05,2024-04-28,12.18,seasonal,68192.8,63437.16,2,22,0,unstable
U00024,U00024_L01,76251,2023-08-11,2024-05-14,14.69,bullet,0.0,84751.69,0,0,0,stable
U00025,U00025_L01,57680,2023-04-17,2024-03-12,9.43,seasonal,57580.26,5017.39,0,0,0,stable
U00025,U00025_L02,47571,2023-09-10,2024-03-07,11.95,bullet,0.0,50358.86,0,0,0,stable
U00026,U00026_L01,18227,2023-08-03,2023-11-16,15.93,bullet,18885.21,177.06,1,45,1,unstable
U00027,U00027_L01,144230,2023-09-07,2024-05-21,14.16,seasonal,45474.84,113135.17,2,24,0,unstable
U00027,U00027_L02,25834,2023-03-20,2023-10-18,14.44,EMI,20516.21,7484.51,1,74,0,unstable
U00028,U00028_L01,49847,2023-06-07,2024-05-25,9.81,bullet,0.0,54576.22,3,15,1,unstable
U00029,U00029_L01,36750,2023-01-20,2023-12-09,13.71,seasonal,37670.87,3537.79,0,22,0,stable
U00029,U00029_L02,21017,2023-04-04,2024-02-13,14.21,seasonal,22946.0,648.4,0,0,0,stable
U00030,U00030_L01,91209,2023-08-31,2024-01-01,8.43,bullet,93800.06,0,0,0,0,stable
U00031,U00031_L01,80422,2023-08-19,2024-05-06,15.26,bullet,0.0,89197.6,0,0,0,stable
U00032,U00032_L01,80636,2023-06-08,2023-10-08,12.84,EMI,49558.95,34537.73,3,84,0,unstable
U00032,U00032_L02,65357,2023-07-22,2023-10-28,10.16,EMI,33216.22,33923.65,2,64,1,unstable
U00032,U00032_L03,98135,2023-07-27,2023-11-30,11.4,bullet,101132.36,864.59,2,31,0,unstable
U00033,U00033_L01,96709,2023-09-03,2024-02-13,12.51,bullet,0.0,102111.8,3,18,1,debt_trapped
U00033,U00033_L02,53452,2023-09-18,2024-02-02,9.2,EMI,11288.41,44009.37,1,9,1,debt_trapped
U00034,U00034_L01,139414,2023-08-29,2023-12-17,9.51,seasonal,56330.17,87079.47,0,14,1,unstable
U00035,U00035_L01,33583,2023-03-27,2023-11-16,16.24,bullet,37044.05,35.41,0,45,0,stable
U00036,U00036_L01,139961,2023-09-29,2024-08-30,10.36,EMI,26747.84,126561.06,1,10,0,unstable
U00037,U00037_L01,84102,2023-05-02,2024-04-12,9.35,bullet,0.0,91556.2,2,10,1,unstable
U00037,U00037_L02,138315,2023-04-09,2024-03-27,9.19,EMI,80183.88,70424.37,2,28,0,unstable
U00038,U00038_L01,87079,2023-09-17,2024-08-09,8.68,EMI,35851.89,57998.66,0,0,0,stable
U00038,U00038_L02,22085,2023-07-05,2024-04-15,17.91,bullet,0.0,25173.48,0,0,0,stable
U00039,U00039_L01,128710,2023-06-27,2024-03-04,11.97,bullet,0.0,139304.67,2,22,1,unstable
U00040,U00040_L01,41990,2023-05-24,2023-10-03,12.13,EMI,43831.99,0,0,0,0,stable
U00040,U00040_L02,28733,2023-08-06,2024-01-29,9.88,EMI,26672.22,3429.64,1,8,0,stable
U00041,U00041_L01,31141,2023-07-28,2024-02-24,14.35,seasonal,3568.83,30155.47,2,10,1,debt_trapped
U00041,U00041_L02,93535,2023-07-24,2024-06-20,17.02,bullet,0.0,108015.35,2,10,0,debt_trapped
U00042,U00042_L01,35378,2023-09-02,2024-08-13,14.77,seasonal,24804.7,15526.63,1,9,0,unstable
U00042,U00042_L02,141023,2023-09-10,2024-04-27,11.73,EMI,50830.62,100616.11,1,15,1,unstable
U00043,U00043_L01,30577,2023-06-14,2024-04-14,12.24,seasonal,24340.76,9363.64,0,0,0,stable
U00043,U00043_L02,20177,2023-06-21,2023-11-04,17.12,seasonal,4829.31,16634.77,0,57,0,stable
U00044,U00044_L01,78379,2023-09-02,2024-02-14,13.97,seasonal,30222.96,53105.83,4,52,1,unstable
U00044,U00044_L02,103441,2023-04-02,2024-02-29,13.0,EMI,40795.04,74914.34,5,45,1,unstable
U00045,U00045_L01,81906,2023-03-24,2023-11-11,9.19,EMI,86690.39,0,1,0,0,stable
U00045,U00045_L02,27305,2023-02-01,2024-01-03,8.94,EMI,26640.58,2911.54,1,11,0,stable
U00046,U00046_L01,55350,2023-09-19,2024-08-07,8.81,EMI,23312.2,36353.02,0,0,0,stable
U00047,U00047_L01,30166,2023-07-27,2024-03-29,17.34,EMI,12639.49,21051.92,2,22,1,unstable
U00047,U00047_L02,111990,2023-05-20,2024-01-01,10.38,bullet,81970.92,37216.75,4,60,0,unstable
U00047,U00047_L03,50893,2023-07-12,2023-11-12,16.89,bullet,53051.09,738.59,2,49,0,unstable
U00048,U00048_L01,97460,2023-07-21,2024-05-30,16.44,bullet,0.0,111243.67,0,0,0,stable
U00048,U00048_L02,88435,2023-07-15,2024-01-23,12.47,EMI,74952.29,19283.66,1,14,0,stable
U00049,U00049_L01,68682,2023-04-19,2024-02-05,8.66,EMI,70218.03,3222.26,0,0,0,stable
U00049,U00049_L02,61592,2023-09-23,2024-06-30,16.53,bullet,0.0,69430.1,0,0,0,stable
U00050,U00050_L01,119187,2023-03-30,2023-07-19,17.21,EMI,49485.75,75939.17,2,165,1,unstable
U00051,U00051_L01,85203,2023-04-18,2024-02-05,13.05,seasonal,10814.45,83314.2,3,30,1,debt_trapped
U00051,U00051_L02,105033,2023-07-02,2024-03-13,8.42,seasonal,3365.43,107846.1,5,50,1,debt_trapped
U00051,U00051_L03,87689,2023-08-30,2023-12-09,17.06,bullet,30061.4,61767.14,2,22,1,debt_trapped
U00052,U00052_L01,50749,2023-07-11,2023-11-18,13.15,EMI,34116.95,19008.91,2,43,0,unstable
U00052,U00052_L02,116566,2023-05-16,2023-11-21,13.76,bullet,109507.08,15364.3,2,40,0,unstable
U00053,U00053_L01,76131,2023-09-19,2024-02-15,17.28,EMI,75734.51,5766.79,0,0,0,stable
U00053,U00053_L02,42409,2023-06-14,2024-01-19,13.29,EMI,44533.39,1257.3,0,0,0,stable
U00054,U00054_L01,98677,2023-08-21,2024-05-03,17.02,bullet,0.0,110456.38,2,28,1,unstable
U00054,U00054_L02,63966,2023-09-04,2024-04-21,9.71,seasonal,13282.39,54597.45,2,16,1,unstable
U00054,U00054_L03,116538,2023-10-01,2024-07-08,17.48,EMI,10517.61,121703.15,3,36,0,unstable
U00055,U00055_L01,63737,2023-08-13,2024-07-21,12.54,EMI,27797.26,43450.61,0,0,0,stable
U00055,U00055_L02,81252,2023-06-26,2023-12-11,11.29,seasonal,39966.47,45507.78,0,20,0,stable
U00056,U00056_L01,18848,2023-07-30,2023-11-02,9.82,bullet,19220.16,109.58,0,59,1,unstable
U00057,U00057_L01,50472,2023-07-12,2023-11-04,16.98,seasonal,11564.39,41607.79,0,57,0,unstable
U00057,U00057_L02,132557,2023-09-02,2024-04-18,16.99,EMI,59114.69,87572.19,1,11,0,unstable
U00057,U00057_L03,63720,2023-07-14,2024-02-10,17.48,bullet,0.0,70158.83,2,10,1,unstable
U00058,U00058_L01,10287,2023-09-20,2024-07-28,15.09,bullet,0.0,11613.9,2,26,1,unstable
U00059,U00059_L01,70543,2023-08-10,2024-05-23,15.09,seasonal,54684.53,24228.6,0,0,0,stable
U00060,U00060_L01,18093,2023-07-06,2024-06-22,11.89,bullet,0.0,20167.64,0,0,1,unstable
U00061,U00061_L01,146447,2023-08-28,2023-12-11,15.06,seasonal,0.0,152791.57,2,20,0,unstable
U00061,U00061_L02,57497,2023-08-12,2024-01-21,12.45,EMI,38431.66,22242.48,1,14,0,unstable
U00062,U00062_L01,144421,2023-05-27,2023-09-29,9.44,bullet,0.0,149089.95,2,93,1,debt_trapped
U00062,U00062_L02,150954,2023-03-14,2024-03-02,9.97,EMI,7650.63,157899.92,6,36,1,debt_trapped
U00063,U00063_L01,38299,2023-07-13,2023-12-05,9.42,bullet,39732.22,0,0,0,0,stable
U00064,U00064_L01,46800,2023-07-04,2024-05-31,13.48,EMI,28766.74,23771.53,2,22,0,stable
U00065,U00065_L01,30555,2023-06-04,2023-11-23,14.34,EMI,32619.75,0,0,0,0,stable
U00065,U00065_L02,67757,2023-07-30,2023-12-28,14.43,bullet,71801.87,0,0,0,0,stable
U00066,U00066_L01,92731,2023-03-29,2023-10-09,10.76,EMI,52436.03,45598.27,3,83,1,unstable
U00067,U00067_L01,114485,2023-08-18,2024-01-27,16.85,bullet,31759.04,91287.87,2,24,1,debt_trapped
U00067,U00067_L02,109446,2023-08-01,2024-05-23,11.52,EMI,7903.47,111767.24,3,39,0,debt_trapped
U00068,U00068_L01,96370,2023-08-20,2024-03-21,15.54,EMI,71031.34,34119.05,0,0,0,stable
U00068,U00068_L02,32829,2023-09-01,2024-07-13,13.65,bullet,0.0,36708.58,0,0,0,stable
U00069,U00069_L01,73389,2023-08-19,2024-06-23,15.13,seasonal,60601.32,22187.85,0,0,0,stable
U00069,U00069_L02,57981,2023-07-14,2024-03-30,9.81,seasonal,41965.63,20067.05,0,0,0,stable
U00070,U00070_L01,85037,2023-07-13,2024-03-21,9.69,bullet,0.0,90726.05,2,24,1,debt_trapped
U00071,U00071_L01,63439,2023-03-26,2024-02-26,17.08,seasonal,56079.56,17363.61,3,45,0,unstable
U00071,U00071_L02,39960,2023-07-02,2024-03-03,11.69,EMI,24297.23,18798.32,1,7,1,unstable
U00071,U00071_L03,25910,2023-08-09,2024-04-10,13.69,seasonal,15051.4,13239.51,0,0,1,unstable
U00072,U00072_L01,37658,2023-07-13,2023-11-20,12.98,bullet,38871.79,527.14,0,41,0,stable
U00073,U00073_L01,65687,2023-06-15,2024-02-15,13.24,bullet,0.0,71524.68,0,0,0,stable
U00073,U00073_L02,55000,2023-05-05,2024-03-15,10.21,bullet,0.0,59846.25,0,0,0,stable
U00074,U00074_L01,40047,2023-08-16,2024-05-29,8.67,bullet,0.0,42777.1,0,0,0,stable
U00074,U00074_L02,57564,2023-09-15,2024-05-21,13.32,seasonal,45324.16,17470.56,0,0,0,stable
U00075,U00075_L01,91243,2023-08-22,2024-06-18,13.56,bullet,0.0,101446.12,1,13,1,unstable
U00075,U00075_L02,149689,2023-03-28,2023-07-04,11.66,bullet,143596.62,10778.59,0,180,0,unstable
U00076,U00076_L01,28952,2023-06-30,2023-12-31,17.85,seasonal,14908.04,16649.17,1,15,1,unstable
U00077,U00077_L01,66240,2023-06-15,2024-03-12,11.57,seasonal,27352.28,44577.96,3,33,1,unstable
U00077,U00077_L02,45959,2023-08-11,2024-01-23,16.99,EMI,28569.19,20919.65,2,16,1,unstable
U00077,U00077_L03,129690,2023-04-09,2023-11-28,9.25,seasonal,74864.45,62483.48,1,33,0,unstable
U00078,U00078_L01,39656,2023-03-30,2024-03-16,16.97,seasonal,5794.26,40351.68,6,84,1,debt_trapped
U00079,U00079_L01,184398,2023-09-08,2024-04-26,17.05,seasonal,4190.42,200105.14,2,16,1,debt_trapped
U00079,U00079_L02,118043,2023-06-11,2023-09-24,9.25,seasonal,0.0,121184.08,3,98,1,debt_trapped
U00080,U00080_L01,122729,2023-09-07,2024-08-13,8.15,EMI,32705.69,99368.03,0,0,1,unstable
U00080,U00080_L02,142184,2023-07-02,2023-10-15,16.05,EMI,134976.87,13771.94,1,77,0,unstable
U00081,U00081_L01,113331,2023-07-23,2024-07-21,10.78,bullet,0.0,125514.61,3,15,0,unstable
U00081,U00081_L02,26471,2023-07-07,2024-06-03,15.58,EMI,7116.28,23106.03,2,14,0,unstable
U00081,U00081_L03,125918,2023-08-19,2024-03-28,12.24,EMI,35079.92,100212.18,2,28,0,unstable
U00082,U00082_L01,23112,2023-09-30,2024-04-15,10.42,seasonal,17705.18,6713.23,0,0,0,stable
U00083,U00083_L01,88621,2023-09-19,2024-07-18,11.28,seasonal,73528.93,23390.49,0,0,0,stable
U00083,U00083_L02,21542,2023-06-04,2024-01-08,11.5,seasonal,19333.78,3687.83,0,0,0,stable
U00084,U00084_L01,107941,2023-05-28,2024-04-16,9.53,bullet,0.0,117072.28,1,12,1,unstable
U00084,U00084_L02,111815,2023-08-22,2024-05-03,14.64,bullet,0.0,123251.38,2,12,1,unstable
U00084,U00084_L03,87294,2023-07-04,2023-10-14,11.11,bullet,88683.93,1320.3,2,78,0,unstable
U00085,U00085_L01,29013,2023-02-06,2023-05-26,15.08,seasonal,10792.31,19527.24,1,219,1,unstable
U00086,U00086_L01,108202,2023-07-27,2024-01-31,16.05,seasonal,20163.89,96983.01,2,18,1,unstable
U00086,U00086_L02,12822,2023-04-27,2023-12-30,13.33,EMI,8446.76,5531.86,3,1,0,unstable
U00086,U00086_L03,112477,2023-07-08,2024-01-28,15.57,seasonal,77768.23,44496.67,1,14,0,unstable
U00087,U00087_L01,73777,2023-08-20,2023-12-25,10.48,EMI,76467.25,0,0,0,0,stable
U00087,U00087_L02,34882,2023-09-03,2024-01-28,17.47,seasonal,26309.83,11026.42,0,0,0,stable
U00088,U00088_L01,66730,2023-04-12,2024-03-13,15.68,seasonal,64631.7,11730.24,0,0,0,stable
U00088,U00088_L02,54158,2023-04-29,2024-02-01,15.79,seasonal,50297.97,10373.26,1,9,0,stable
U00089,U00089_L01,87393,2023-06-30,2023-10-21,8.53,EMI,89700.87,0,0,0,0,stable
U00090,U00090_L01,65557,2023-04-16,2023-12-17,17.31,bullet,73174.09,0,0,0,0,stable
U00091,U00091_L01,12166,2023-08-19,2024-04-25,14.97,seasonal,5175.45,8237.98,1,12,0,unstable
